,x,y,z,roll,pitch,yaw,joint1,joint2,joint3,joint4,joint5,joint6,gripper
0,-29.903661193865666,232.40634428617585,193.67070678112395,148.97149,-80.381338,154.599082,89.865966,25.064955,28.086334,-33.222671,-79.70582,-3.504611,1
1,-29.93569477014783,232.2670128786009,193.08661130359613,150.173269,-79.595411,153.546558,89.865966,25.064955,28.086334,-33.343508,-78.927629,-3.72434,1
2,-30.042295427021305,232.16090234436908,192.91957704045254,150.362976,-79.523792,153.533438,89.865966,25.064955,28.086334,-33.519292,-78.849822,-3.72434,1
3,-30.06749779198,232.13682896979333,192.83899493911915,150.396093,-79.468272,153.524843,89.865966,25.064955,28.086334,-33.541236,-78.804042,-3.746342,1
4,-30.058303324858716,232.13449970403258,192.7401845942625,150.643954,-79.369093,153.246787,89.865966,25.064955,28.086334,-33.508291,-78.689565,-3.757343,1
5,-30.143970157172305,232.0583449275228,192.69146862645587,150.731846,-79.33059,153.30202,89.865966,25.064955,28.086334,-33.651129,-78.657537,-3.757343,1
6,-30.185169618175113,232.03470045682184,192.67455916447278,150.75465,-79.321595,153.301275,89.865966,25.064955,28.086334,-33.673073,-78.64837,-3.757343,1
7,-30.27428355187835,231.95547217302976,192.66399036038058,150.743305,-79.313917,153.477059,89.865966,25.064955,28.086334,-33.837913,-78.64837,-3.757343,1
8,-30.193167693095,232.0115124784575,192.64117099781086,150.611582,-79.299421,153.490924,89.865966,25.064955,28.086334,-33.717019,-78.643786,-3.790288,1
9,-30.040674606691635,232.04542476674564,192.51659162648474,150.668878,-79.217202,153.404809,89.865966,25.064955,28.086334,-33.684074,-78.561395,-3.823233,1
10,-29.35831994705482,232.32330112998483,192.11847476109764,151.547108,-78.949459,152.104882,89.865966,25.064955,28.086334,-33.255616,-78.236413,-3.823233,1
11,-27.071229075637298,233.6207789375001,191.19700494010118,153.143826,-78.561165,147.877886,89.865966,25.064955,28.086334,-30.607921,-77.659616,-3.823233,1
12,-23.705774506768975,234.8584671616832,188.15272687950937,159.797929,-75.544543,137.414531,89.865966,25.064955,28.086334,-26.718741,-74.180617,-3.823233,1
13,-21.71174196497653,234.81466829345715,185.01672033695507,163.801357,-72.120547,131.990339,89.865966,25.064955,28.086334,-25.202637,-70.536777,-3.922125,1
14,-20.769097283090165,234.98366157475513,184.25478314222096,161.507349,-71.540828,133.865859,89.865966,25.064955,28.086334,-24.631341,-70.193461,-4.844988,1
15,-19.405877733564466,235.55485013111024,184.16127051637056,160.111681,-71.419533,133.946073,89.865966,25.064955,28.086334,-23.225073,-70.193461,-5.383282,1
16,-17.349313118296642,236.43675125535714,184.19770395600258,160.513954,-71.536646,131.11973,89.865966,25.064955,28.086792,-20.797107,-70.193461,-5.317392,1
17,-15.449080976215381,237.1351996613505,184.24492521964476,161.049498,-71.652154,128.567432,89.865966,25.064955,28.086964,-18.709708,-70.193461,-5.196555,1
18,-13.733224738995649,237.7085998601271,184.28753536186596,161.267337,-71.722914,126.513837,89.865966,25.064955,28.087193,-16.94093,-70.193461,-5.185555,1
19,-12.423447457758506,238.11360961587107,184.31756695155084,161.421061,-71.774538,124.908352,89.865966,25.064955,28.087193,-15.479715,-70.193461,-5.185555,1
20,-11.94023600755538,238.23150399240401,184.32294634743914,161.461168,-71.787486,124.49714,89.865966,25.064955,28.087193,-15.106204,-70.193461,-5.185555,1
21,-11.804228587573776,238.25578717342586,184.29241513308412,161.498353,-71.770069,124.340722,89.865966,25.064955,28.087193,-14.985367,-70.1706,-5.185555,1
22,-11.951095517887266,238.17568339251272,184.18795245106554,161.598162,-71.655534,124.430619,89.865966,25.064955,28.087193,-15.172094,-70.056123,-5.185555,1
23,-12.286052519749813,238.02701730618526,184.08065957330916,161.664167,-71.530286,124.859822,89.865966,25.064955,28.087193,-15.6665,-69.937119,-5.185555,1
24,-12.274751600611596,238.02289906636076,184.05729698878946,161.892376,-71.545698,124.620097,89.865966,25.064955,28.087193,-15.6665,-69.932536,-5.108664,1
25,-11.87598508391976,238.14843711943328,184.0629863594274,161.946349,-71.563116,124.064156,89.865966,25.064955,28.087193,-15.161151,-69.932536,-5.108664,1
26,-11.45683890290696,238.2788876106534,184.07605316777494,162.00565,-71.581909,123.45917,89.865966,25.064955,28.087193,-14.611799,-69.932536,-5.108664,1
27,-11.478900333521997,238.2666115535781,184.10134064722203,162.141498,-71.603739,123.423703,89.865966,25.064955,28.087193,-14.721692,-69.941703,-5.053717,1
28,-11.598971098225013,238.26004164737043,184.2122267155572,162.097381,-71.692777,123.592153,89.865966,25.064955,28.087193,-14.85353,-70.033262,-5.031715,1
29,-11.748354255828078,238.26416782305608,184.4858636461213,162.384089,-71.824385,123.498417,89.865966,25.064955,28.087193,-15.073259,-70.133988,-4.888934,1
30,-11.629986436743454,238.63730314380965,185.62141116117044,160.659658,-72.878283,124.978023,89.865966,25.064955,28.087193,-14.842529,-71.296691,-5.053717,1
31,-11.232140364632652,239.164773395781,187.32158332090123,158.845731,-74.227771,126.220253,89.865966,25.064955,28.087193,-14.315179,-72.729486,-5.075661,1
32,-10.548495751052457,240.00395915642963,190.36692476423696,154.862299,-76.832609,129.17746,89.865966,25.064955,28.087193,-13.392316,-75.494409,-4.976826,1
33,-9.725162141682087,240.9666466551855,195.22865726452036,136.364299,-80.251563,146.592398,89.865966,25.064955,28.087193,-12.403562,-80.337506,-6.108418,1
34,-8.469697099040062,241.60638587822456,200.62483082288523,99.740837,-80.72007,-178.289454,89.865966,25.064955,28.087193,-11.107188,-85.789486,-8.547384,1
35,-6.5009404525582815,241.9299459704253,204.54919567279094,76.512612,-80.577404,-157.278691,89.865966,25.064955,28.087193,-9.140625,-89.50655,-8.64622,1
36,-4.052941616309625,242.18533906735112,206.51983121386027,65.716712,-80.380306,-149.10986,89.865966,25.064955,28.087193,-6.624767,-91.218548,-8.371601,1
37,-1.969913245299467,242.40044402373363,206.88094761037055,64.916405,-80.597973,-150.46078,89.865966,25.064955,28.087193,-4.47142,-91.218548,-8.217762,1
38,-1.078549855487174,242.46304924382304,206.94963044836283,66.41085,-80.012238,-152.649822,89.865966,25.064955,28.087193,-3.801288,-91.218548,-8.887951,1
39,-0.6680378876235757,242.48706828416857,206.95636307980635,66.729644,-79.872265,-153.271424,89.865966,25.064955,28.087193,-3.504611,-91.218548,-9.052733,1
40,-0.3609654702542797,242.51100159305386,206.91043603047524,67.082472,-79.855764,-153.952098,89.865966,25.064955,28.087193,-3.175046,-91.163659,-9.10768,1
41,-0.3356909339021025,242.51577482475997,206.8465251030451,67.322197,-79.861493,-154.189188,89.865966,25.064955,28.087193,-3.175046,-91.122463,-9.118681,1
42,-0.4915721331583346,242.51560166491004,206.6860465877952,68.058333,-79.903033,-154.695339,89.865966,25.064955,28.087193,-3.394775,-90.989709,-9.118681,1
43,-0.5161378650479047,242.53856922628225,206.36954642372606,69.70066,-80.012811,-156.314861,89.865966,25.064955,28.087193,-3.394775,-90.683004,-9.118681,1
44,-0.5115550571290937,242.57046152412363,205.950603954561,72.388634,-80.159145,-158.966911,89.865966,25.064955,28.087193,-3.394775,-90.197766,-9.129624,1
45,-0.4665364777266575,242.57925964556063,205.84207330363978,72.660101,-80.176906,-159.300602,89.865966,25.064955,28.087193,-3.328885,-90.147403,-9.129624,1
46,-0.48315580923085133,242.5784538287821,205.82314786727758,72.663424,-80.17599,-159.281923,89.865966,25.064955,28.087193,-3.350829,-90.147403,-9.129624,1
47,-0.5341023776584505,242.57469055402657,205.81928590002585,72.673279,-80.173297,-159.225831,89.865966,25.064955,28.087193,-3.416777,-90.147403,-9.129624,1
48,-0.5418184567198512,242.57328899067704,205.81851953287762,72.678207,-80.171922,-159.197756,89.865966,25.064955,28.087193,-3.449722,-90.147403,-9.129624,1
49,-0.39650036266065697,242.5827539904056,205.8194912972399,72.674081,-80.167739,-159.347871,89.865966,25.064955,28.087193,-3.295882,-90.147403,-9.140625,1
50,-0.17332771924409063,242.5983855501963,205.81791225056176,72.798872,-80.08552,-159.772146,89.865966,25.064955,28.087193,-2.999262,-90.147403,-9.239517,1
51,-0.2456779528038866,242.5958454455011,205.79104620613072,72.938559,-80.055783,-159.856657,89.865966,25.064955,28.087193,-3.054209,-90.133652,-9.272462,1
52,-0.6685359975792287,242.57216584637442,205.69301298622224,73.482066,-80.002097,-159.890462,89.865966,25.064955,28.087193,-3.559558,-90.065012,-9.327409,1
53,-0.9771060326714852,242.56890676251913,205.45321171120284,75.190627,-80.06094,-161.323601,89.865966,25.064955,28.087193,-3.812232,-89.767475,-9.338353,1
54,-1.3324521984496829,242.54240059554294,205.4073612809947,75.233197,-80.054122,-160.948085,89.865966,25.064955,28.087193,-4.229746,-89.767475,-9.327409,1
55,-1.3753311580266112,242.5526454901552,205.3950079747652,71.461531,-82.026357,-157.460834,89.865966,25.064955,28.087193,-3.900124,-89.767475,-7.283955,1
56,-2.6887307497099835,242.42677360871372,205.37113456759636,67.528347,-83.428213,-151.943079,89.865966,25.064955,28.087193,-5.44923,-89.767475,-5.723848,1
57,-3.9289493402332893,242.28666404631315,205.3457754308129,68.897029,-83.098705,-152.053889,89.865966,25.064955,28.087193,-6.712659,-89.758308,-6.031469,1
58,-4.684985291689751,242.1792438873911,205.33163001728087,71.763136,-82.114077,-154.040104,89.865966,25.064955,28.087193,-7.569575,-89.753724,-7.108172,1
59,-4.1570704099052165,242.25796692170312,205.33974467287229,72.230727,-81.878419,-155.173415,89.865966,25.064955,28.087193,-6.954333,-89.753724,-7.3169,1
60,-3.02829716774155,242.39554464160506,205.35607001995288,71.985214,-81.926719,-156.159361,89.865966,25.064955,28.087193,-5.690903,-89.753724,-7.3169,1
61,-2.012156596544082,242.48809615711863,205.368695446845,71.804045,-81.963389,-156.901742,89.865966,25.064955,28.087193,-4.801043,-89.753724,-7.3169,1
62,-0.9731864115229447,242.54417164061687,205.37368266111707,71.520775,-82.0907,-157.121242,89.865966,25.064955,28.087193,-4.284693,-89.744557,-7.196063,1
63,2.0900261274064134,242.69685424208072,205.40306451985745,70.327189,-82.440032,-159.638418,89.865966,25.064955,28.087193,-0.428458,-89.739973,-6.987278,1
64,3.5683351759614257,242.7025506444412,205.4137244580277,69.346285,-82.751893,-160.42125,89.865966,25.064955,28.087193,1.186538,-89.735389,-6.745604,1
65,1.8105329283621392,242.70237642948175,205.40087822830876,71.308379,-82.083309,-160.230971,89.877712,25.064955,28.087193,-0.966809,-89.735389,-7.360846,1
66,-0.8057136057885896,242.68337365320858,205.39370491182467,71.33422,-82.047728,-160.650777,90.606686,25.065528,28.087193,0.153782,-89.735389,-7.448738,1
67,-7.171302563093676,242.44558924591888,205.37071524263914,71.805993,-81.800669,-161.775779,92.907341,25.066846,28.087193,3.098155,-89.735389,-7.844251,1
68,-16.324997772773468,241.69648534883862,205.30049454401006,73.963752,-80.753015,-163.907526,95.97066,25.071659,28.087193,6.108418,-89.726279,-9.085678,1
69,-25.904120073547116,240.36430754996474,205.12964002142138,76.295518,-79.275758,-166.691299,99.169426,25.083634,28.087193,9.722922,-89.721696,-10.788566,1
70,-35.77184266850923,238.45132475069892,204.5334975845181,78.614966,-77.459425,-168.775547,102.330835,25.14431,28.087193,12.612291,-89.721696,-12.788074,1
71,-44.858907937508256,235.7742169591987,202.32171348568716,82.163065,-75.295993,-172.784762,105.495224,25.544521,28.087193,16.248797,-89.652998,-15.117205,1
72,-52.87598895654028,232.20533093657286,196.8628473296048,87.123848,-74.81786,-178.094763,108.460796,26.710719,28.087652,19.720462,-89.543162,-15.457771,1
73,-59.30094180173345,227.6706553203122,186.44057449194165,97.031147,-75.724795,172.340204,111.005645,29.504576,28.088167,22.192374,-89.543162,-13.447262,1
74,-64.24032985386039,225.10556104085316,173.51961162204506,108.679265,-75.41408,161.110002,112.544495,33.22439,28.754403,23.609643,-89.543162,-11.909157,1
75,-70.3215013214289,232.69078943753976,163.04037524032879,110.902341,-74.922196,160.57973,112.922418,37.487769,32.324503,22.379159,-89.543162,-12.030051,1
76,-76.09843807471292,244.8171338068902,153.61430381992756,108.508122,-74.737474,163.76125,112.922418,41.855254,37.307918,21.577132,-89.543162,-12.722184,1
77,-78.61562312684863,249.6878649194649,141.26776367923662,111.417659,-73.481322,160.931411,112.934508,46.190253,40.262489,21.64308,-89.543162,-13.194588,1
78,-79.94546068637888,248.31536180387187,127.26083425549221,118.289715,-72.034489,156.369923,112.955478,49.832202,41.53394,19.643572,-89.547746,-13.06275,1
79,-79.07197299142457,243.64416762018823,115.55496185371659,123.414994,-70.349878,152.040711,113.019649,52.708565,41.699181,19.160167,-89.872727,-12.897968,1
80,-77.94841326216853,240.48701366081784,108.88744886680719,125.708487,-69.374818,149.676171,113.031739,54.310612,41.703249,19.368896,-90.133652,-12.755129,1
81,-78.39765058158657,239.92756704386775,107.1033513471265,125.252928,-68.680508,150.777167,113.032484,54.512293,41.725308,18.830544,-90.138236,-13.458263,1
82,-80.67464222735082,241.20647646989252,107.38289921595191,124.195535,-68.507303,153.644592,113.032484,54.512752,42.05281,17.083768,-90.193183,-14.304178,1
83,-84.15258278251834,245.70188000583414,109.11131194858494,120.197493,-68.498136,159.399723,113.032484,54.515273,43.344716,15.292988,-90.38541,-15.787336,1
84,-86.53449446775912,250.04018360659964,110.7437124755577,116.333981,-68.94235,163.59366,113.030192,54.556354,44.509596,14.842529,-90.728784,-16.42458,1
85,-86.98416402403633,249.2280495029162,109.69416290476128,114.046619,-69.186774,166.462116,113.021196,55.251982,44.568439,14.17234,-92.230219,-16.501471,1
86,-86.34668567645883,246.83993209830166,107.97787695300993,104.594018,-68.501459,175.72203,113.017587,56.721332,44.568439,14.117451,-96.748335,-17.973629,1
87,-85.94189803471671,245.57431578592767,106.10635881329831,104.081565,-66.653555,176.471746,113.016899,57.267132,44.568439,14.018558,-96.995567,-19.643572,1
88,-85.86036653184141,245.4694415394164,105.7871999267799,103.764089,-66.065414,176.919226,113.016899,57.267132,44.568439,13.919666,-96.995567,-20.269757,1
89,-85.36016515633176,245.55552884197598,105.76329274738112,103.410689,-65.581666,176.689011,113.016899,57.267132,44.568439,14.523907,-96.995567,-20.643326,1
90,-84.95950040614917,245.62502549982426,105.77564855750671,104.225377,-67.165264,175.328351,113.016899,57.267132,44.568439,14.985367,-96.995567,-18.918436,1
91,-84.99318128056315,245.61053882238582,105.76486659765914,104.279522,-67.21471,175.415441,113.016899,57.267132,44.568439,14.842529,-96.995567,-18.896492,1
92,-84.99909927722972,245.60660572701175,105.72737102844803,104.276084,-67.068893,175.430338,113.016899,57.267132,44.568439,14.842529,-96.963481,-19.03933,1
93,-85.01008238281514,245.5983473762124,105.64925557302912,103.222186,-64.654964,176.624496,113.016899,57.267132,44.568439,14.842529,-96.858229,-21.698026,1
94,-85.08883101966113,245.58945987221725,105.64551840972673,100.326514,-56.871562,179.968622,113.016899,57.267132,44.568439,14.809584,-96.858229,-29.454328,1
95,-85.36057973515153,245.54222650396892,105.63633088533125,99.16616,-51.888949,-178.285558,113.016899,57.267132,44.568439,14.501963,-96.858229,-34.573992,1
96,-85.58859539124808,245.50369873537502,105.62473890226077,98.335658,-47.079713,-176.956812,113.016899,57.267132,44.568439,14.282234,-96.849061,-39.484871,1
97,-85.73001261233685,245.4784680265036,105.6237905282333,97.619862,-41.769769,-175.772909,113.016899,57.267132,44.568439,14.150396,-96.849061,-44.879154,1
98,-85.66086428277296,245.49509316767228,105.63204426713908,97.458689,-40.458956,-175.656656,113.016899,57.267132,44.568439,14.249288,-96.849061,-46.175528,1
99,-85.59680508430094,245.5067090607549,105.64223107460116,96.812106,-33.617668,-174.662746,113.016899,57.267132,44.568439,14.326179,-96.844478,-53.05297,1
